order_id,customer_id,product_id,order_date_id,ship_date_id,due_date_id,location_id,quantity,sales_amount,unit_price,unit_cost,days_to_ship,days_to_due
--------,-----------,----------,-------------,------------,-----------,-----------,--------,------------,----------,---------,------------,-----------
SO59845,634,5,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59848,726,268,20130610,20130617,20130622,1,1,5.00,5.00,2.00,7,12
SO59848,726,3,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59848,726,4,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59848,726,5,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59855,14887,268,20130610,20130617,20130622,1,1,5.00,5.00,2.00,7,12
SO59855,14887,3,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59855,14887,4,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59855,14887,5,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59858,5259,276,20130610,20130617,20130622,1,1,22.00,22.00,8.00,7,12
SO59868,1763,276,20130610,20130617,20130622,1,1,22.00,22.00,8.00,7,12
SO59883,4032,367,20130610,20130617,20130622,1,1,1701.00,1701.00,1083.00,7,12
SO59883,4032,279,20130610,20130617,20130622,1,1,54.00,54.00,42.00,7,12
SO59894,11167,329,20130610,20130617,20130622,1,1,21.00,21.00,8.00,7,12
SO59896,9324,3,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59896,9324,4,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59896,9324,5,20130610,20130617,20130622,1,1,35.00,35.00,13.00,7,12
SO59898,6274,330,20130610,20130617,20130622,1,1,25.00,25.00,9.00,7,12
SO59905,1858,147,20130611,20130618,20130623,1,1,2320.00,2320.00,1266.00,7,12
SO59905,1858,148,20130611,20130618,20130623,1,1,2320.00,2320.00,1266.00,7,12
SO59905,1858,268,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59906,3165,257,20130611,20130618,20130623,1,1,24.00,24.00,9.00,7,12
SO59906,3165,258,20130611,20130618,20130623,1,1,24.00,24.00,9.00,7,12
SO59906,3165,276,20130611,20130618,20130623,1,1,22.00,22.00,8.00,7,12
SO59908,6062,319,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59912,7448,329,20130611,20130618,20130623,1,1,21.00,21.00,8.00,7,12
SO59930,15127,319,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59931,741,319,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59931,741,3,20130611,20130618,20130623,1,1,35.00,35.00,13.00,7,12
SO59931,741,4,20130611,20130618,20130623,1,1,35.00,35.00,13.00,7,12
SO59931,741,5,20130611,20130618,20130623,1,1,35.00,35.00,13.00,7,12
SO59933,8402,319,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59934,751,268,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59936,3375,276,20130611,20130618,20130623,1,1,22.00,22.00,8.00,7,12
SO59938,10583,276,20130611,20130618,20130623,1,1,22.00,22.00,8.00,7,12
SO59938,10583,268,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59948,16160,329,20130611,20130618,20130623,1,1,21.00,21.00,8.00,7,12
SO59950,3561,257,20130611,20130618,20130623,1,1,24.00,24.00,9.00,7,12
SO59950,3561,258,20130611,20130618,20130623,1,1,24.00,24.00,9.00,7,12
SO59955,3256,319,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59960,6288,166,20130611,20130618,20130623,1,1,2443.00,2443.00,1555.00,7,12
SO59960,6288,167,20130611,20130618,20130623,1,1,2443.00,2443.00,1555.00,7,12
SO59966,18035,268,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59975,12941,176,20130611,20130618,20130623,1,1,1120.00,1120.00,713.00,7,12
SO59975,12941,177,20130611,20130618,20130623,1,1,1120.00,1120.00,713.00,7,12
SO59978,15947,368,20130611,20130618,20130623,1,1,540.00,540.00,344.00,7,12
SO59978,15947,268,20130611,20130618,20130623,1,1,5.00,5.00,2.00,7,12
SO59986,1653,268,20130612,20130619,20130624,1,1,5.00,5.00,2.00,7,12
SO59986,1653,281,20130612,20130619,20130624,1,1,54.00,54.00,42.00,7,12
SO59987,2609,145,20130612,20130619,20130624,1,1,2320.00,2320.00,1266.00,7,12
SO59987,2609,146,20130612,20130619,20130624,1,1,2320.00,2320.00,1266.00,7,12
